Datum;Marktwert;Spieler;Abgerufen_am
23.08.2024;;Jäger;19.06.2025
30.08.2024;;Jäger;19.06.2025
13.09.2024;;Jäger;19.06.2025
20.09.2024;;Jäger;19.06.2025
27.09.2024;;Jäger;19.06.2025
04.10.2024;;Jäger;19.06.2025
18.10.2024;;Jäger;19.06.2025
25.10.2024;;Jäger;19.06.2025
01.11.2024;;Jäger;19.06.2025
08.11.2024;;Jäger;19.06.2025
22.11.2024;;Jäger;19.06.2025
29.11.2024;;Jäger;19.06.2025
06.12.2024;;Jäger;19.06.2025
13.12.2024;;Jäger;19.06.2025
20.12.2024;;Jäger;19.06.2025
10.01.2025;;Jäger;19.06.2025
14.01.2025;;Jäger;19.06.2025
17.01.2025;;Jäger;19.06.2025
24.01.2025;;Jäger;19.06.2025
31.01.2025;;Jäger;19.06.2025
07.02.2025;;Jäger;19.06.2025
14.02.2025;;Jäger;19.06.2025
21.02.2025;;Jäger;19.06.2025
28.02.2025;;Jäger;19.06.2025
07.03.2025;;Jäger;19.06.2025
14.03.2025;;Jäger;19.06.2025
28.03.2025;;Jäger;19.06.2025
04.04.2025;;Jäger;19.06.2025
11.04.2025;;Jäger;19.06.2025
19.04.2025;;Jäger;19.06.2025
25.04.2025;;Jäger;19.06.2025
02.05.2025;;Jäger;19.06.2025
09.05.2025;160000.0;Jäger;19.06.2025
10.05.2025;170000.0;Jäger;19.06.2025
11.05.2025;160000.0;Jäger;19.06.2025
12.05.2025;390000.0;Jäger;19.06.2025
13.05.2025;360000.0;Jäger;19.06.2025
14.05.2025;330000.0;Jäger;19.06.2025
15.05.2025;310000.0;Jäger;19.06.2025
16.05.2025;290000.0;Jäger;19.06.2025
17.05.2025;270000.0;Jäger;19.06.2025
18.05.2025;250000.0;Jäger;19.06.2025
19.05.2025;230000.0;Jäger;19.06.2025
20.05.2025;220000.0;Jäger;19.06.2025
21.05.2025;230000.0;Jäger;19.06.2025
22.05.2025;220000.0;Jäger;19.06.2025
23.05.2025;230000.0;Jäger;19.06.2025
24.05.2025;230000.0;Jäger;19.06.2025
25.05.2025;220000.0;Jäger;19.06.2025
26.05.2025;220000.0;Jäger;19.06.2025
27.05.2025;200000.0;Jäger;19.06.2025
28.05.2025;200000.0;Jäger;19.06.2025
29.05.2025;190000.0;Jäger;19.06.2025
30.05.2025;190000.0;Jäger;19.06.2025
31.05.2025;180000.0;Jäger;19.06.2025
01.06.2025;170000.0;Jäger;19.06.2025
02.06.2025;390000.0;Jäger;19.06.2025
03.06.2025;390000.0;Jäger;19.06.2025
04.06.2025;420000.0;Jäger;19.06.2025
05.06.2025;410000.0;Jäger;19.06.2025
06.06.2025;400000.0;Jäger;19.06.2025
07.06.2025;400000.0;Jäger;19.06.2025
08.06.2025;370000.0;Jäger;19.06.2025
09.06.2025;360000.0;Jäger;19.06.2025
10.06.2025;330000.0;Jäger;19.06.2025
11.06.2025;320000.0;Jäger;19.06.2025
12.06.2025;300000.0;Jäger;19.06.2025
13.06.2025;280000.0;Jäger;19.06.2025
14.06.2025;260000.0;Jäger;19.06.2025
15.06.2025;280000.0;Jäger;19.06.2025
16.06.2025;260000.0;Jäger;19.06.2025
17.06.2025;260000.0;Jäger;19.06.2025
18.06.2025;250000.0;Jäger;19.06.2025
19.06.2025;240000.0;Jäger;19.06.2025
19.06.2025;;Jäger;19.06.2025
