Datum;Marktwert;Spieler;Abgerufen_am
27.05.2025;750000.0;Poręba;19.06.2025
28.05.2025;760000.0;Poręba;19.06.2025
29.05.2025;750000.0;Poręba;19.06.2025
30.05.2025;700000.0;Poręba;19.06.2025
31.05.2025;650000.0;Poręba;19.06.2025
01.06.2025;600000.0;Poręba;19.06.2025
02.06.2025;550000.0;Poręba;19.06.2025
03.06.2025;520000.0;Poręba;19.06.2025
04.06.2025;510000.0;Poręba;19.06.2025
05.06.2025;530000.0;Poręba;19.06.2025
06.06.2025;490000.0;Poręba;19.06.2025
07.06.2025;460000.0;Poręba;19.06.2025
08.06.2025;430000.0;Poręba;19.06.2025
09.06.2025;460000.0;Poręba;19.06.2025
10.06.2025;430000.0;Poręba;19.06.2025
11.06.2025;430000.0;Poręba;19.06.2025
12.06.2025;400000.0;Poręba;19.06.2025
13.06.2025;390000.0;Poręba;19.06.2025
14.06.2025;440000.0;Poręba;19.06.2025
15.06.2025;430000.0;Poręba;19.06.2025
16.06.2025;400000.0;Poręba;19.06.2025
17.06.2025;380000.0;Poręba;19.06.2025
18.06.2025;360000.0;Poręba;19.06.2025
19.06.2025;350000.0;Poręba;19.06.2025
19.06.2025;;Poręba;19.06.2025
